ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04514	Cell adhesion molecules	82/2195	157/8463	1.231656090211062e-12	4.1137313413049473e-10	2.5022065832708944e-10	959/3383/23308/5175/1493/3134/958/90952/6385/941/3695/3684/942/102723996/4756/5792/5818/3688/3384/50848/9379/26047/57555/923/23705/6382/214/965/29126/80380/3109/3683/5788/84628/22871/3689/5802/1462/3655/57689/6383/5133/8506/3696/3135/3133/9369/22829/4897/925/3105/7412/3680/3107/94030/57502/1002/3123/3897/5817/137075/5819/926/3127/3106/22854/6614/23562/29851/57863/947/10666/4359/3108/100506658/999/1366/927/5797/23114/920/914	82
hsa04010	MAPK signaling pathway	123/2195	302/8463	8.011072458794871e-9	1.2801211121594243e-6	7.786428447739328e-7	355/4791/2260/1848/3725/80824/55799/5154/10235/4763/5604/2317/6416/5906/5578/7048/7040/1846/8569/4616/4790/3306/994/1850/9020/8717/776/51776/1942/1946/7867/783/5058/2318/2263/5600/4254/4902/1847/1398/6237/784/7124/4804/5579/627/9064/2872/284/8913/5567/1849/5979/9175/6788/4214/2322/9252/9448/11221/7786/5155/5605/2253/2065/7422/115727/3556/8491/468/7423/1944/1435/3845/23162/3553/1647/1843/1326/5156/2261/59284/2069/3552/1969/5228/782/93589/10125/9479/3643/4294/56034/4914/7039/8817/777/4137/59283/8911/4615/3815/3554/27092/84867/3164/2324/8605/10912/7042/4908/2353/781/408/80310/9048/356/774/6300/22808/5321/5924/5495	123
hsa04640	Hematopoietic cell lineage	52/2195	99/8463	1.2911045439911195e-8	1.2801211121594243e-6	7.786428447739328e-7	960/100133941/2208/3684/928/3675/1604/1437/4254/7124/3109/2322/3559/912/3569/921/1435/3678/3655/3553/3672/3563/3552/1438/925/2811/3581/913/290/910/3123/1378/916/1441/952/966/3575/926/3815/917/3127/924/3554/2814/915/947/3108/3674/948/927/920/914	52
hsa04512	ECM-receptor interaction	48/2195	89/8463	1.5330791762388316e-8	1.2801211121594243e-6	7.786428447739328e-7	960/375790/6385/3695/1278/80144/1277/2335/3679/3688/3675/3911/3371/3912/22987/6382/3339/3678/3655/1291/3672/3908/3696/9899/1293/1311/3914/1292/2811/3680/7058/1287/3693/1284/7057/10319/3161/3918/7148/1280/6696/2814/7143/341640/9900/3674/3691/948	48
hsa05414	Dilated cardiomyopathy	50/2195	96/8463	3.524955336253072e-8	2.354670164617052e-6	1.4322450103091427e-6	71/7168/55799/3695/7040/112/3679/3688/3675/4000/776/783/784/1674/7124/5567/7139/7169/2778/3678/3655/3672/3908/6262/60/3696/59284/782/3680/93589/111/4633/3693/109/153/4624/59283/6546/6443/6547/27092/107/7042/781/4634/3674/4625/3691/6543/114	50
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	42/2195	77/8463	7.914579209515572e-8	4.405782426630335e-6	2.679848749888606e-6	71/55799/3695/3679/3688/3675/6934/4000/6932/776/783/2697/784/1674/89/3728/3678/3655/3672/3908/6262/60/3696/59284/5318/782/3680/93589/83439/3693/59283/1829/6546/6443/6547/27092/1824/781/88/3674/3691/6543	42
hsa04510	Focal adhesion	86/2195	203/8463	1.9368455238747127e-7	9.241520071059343e-6	5.621220843726609e-6	6714/71/87/5291/3725/5747/5154/5604/2317/3695/1278/5906/5578/1277/2335/329/3679/3688/3675/8395/3911/3371/3912/857/64098/7791/5058/2318/5293/55742/1398/10398/81/5579/4638/29780/2889/894/5155/7422/7423/6464/3678/83660/3655/1291/3672/3908/60/5156/1793/3696/1293/1311/5228/3914/1292/859/2534/3680/7058/1287/56034/4633/3693/1284/7057/10319/56924/3918/7148/1280/6696/85366/7143/387/340156/2324/595/2013/3674/80310/8503/29895/3691/858	86
hsa05340	Primary immunodeficiency	25/2195	38/8463	2.742060420719169e-7	1.144810225650253e-5	6.963390278931573e-6	959/100/3932/57379/5993/958/64421/23495/3718/29760/4261/5788/973/5994/925/115650/326/916/3575/926/29851/915/927/920/3543	25
hsa04115	p53 signaling pathway	39/2195	73/8463	4.7409900869234434e-7	1.723824629522658e-5	1.0485286905070062e-5	598/355/1026/3732/27244/51246/10572/50484/4616/6477/64065/8795/900/5268/1021/901/898/894/842/8493/637/891/54205/575/7249/5054/1647/6241/11200/4194/9133/983/51512/9134/7161/7057/472/595/10912	39
hsa05166	Human T-cell leukemia virus 1 infection	91/2195	222/8463	5.16115158539718e-7	1.723824629522658e-5	1.0485286905070062e-5	4792/598/3383/1026/291/4791/5291/4049/3932/821/3725/9700/3134/958/7416/1959/5604/991/6776/6416/7048/7040/5423/4790/200186/23373/112/1958/9020/2113/3601/6777/3718/1030/1437/5293/7124/25847/90993/7417/5567/3109/3683/9232/898/894/4214/3559/3600/5605/3569/468/3689/83660/4316/3845/1869/293/3135/3133/2114/4487/4088/3105/4776/115650/11200/3107/4087/890/9133/111/109/3123/9134/9586/916/917/3127/3554/3106/472/107/595/915/7042/2353/3108/8503/920/114	91
