	Control_1	Control_2	Control_3	Control_4	Treatment_1	Treatment_2	Treatment_3	Treatment_4
ENSG00000186092	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0
ENSG00000187634	6	2	6	2	20	14	13	19
ENSG00000188976	317	324	460	579	1743	1746	1455	2170
ENSG00000187961	25	32	13	21	7	10	9	14
ENSG00000187583	8	13	3	13	5	1	2	4
ENSG00000187642	0	0	0	0	0	1	0	0
ENSG00000188290	2	3	1	3	0	0	0	0
ENSG00000187608	321	371	725	842	1877	1515	1416	2165
ENSG00000188157	215	187	155	204	21	15	23	37
ENSG00000237330	0	0	0	1	0	0	0	0
ENSG00000131591	51	42	60	55	120	144	107	155
ENSG00000162571	1	0	0	0	0	0	0	0
ENSG00000186891	205	218	560	706	29	22	30	37
ENSG00000186827	1209	1238	668	808	35	37	17	35
ENSG00000078808	2507	2578	1723	2221	3519	4048	3397	4621
ENSG00000176022	295	270	424	531	764	949	715	991
ENSG00000184163	6	1	0	3	2	0	0	2
ENSG00000160087	523	499	584	767	2169	2557	1998	2573
ENSG00000162572	1	1	0	1	15	9	8	7
ENSG00000131584	40	35	25	24	77	133	108	139
ENSG00000169972	26	37	37	48	176	172	171	157
ENSG00000127054	840	927	724	921	1543	1730	1470	1995
ENSG00000224051	199	174	192	234	603	791	670	961
ENSG00000169962	1	0	1	1	5	11	25	8
ENSG00000107404	157	165	201	215	234	307	258	343
ENSG00000162576	5	5	0	0	7	11	19	16
ENSG00000175756	406	473	425	584	1713	1997	1695	2253
ENSG00000221978	416	398	265	313	918	1072	859	1000
ENSG00000242485	295	364	459	654	2088	2101	1691	2281
ENSG00000235098	0	0	3	4	6	8	6	6
ENSG00000205116	0	0	0	0	0	0	0	0
ENSG00000179403	12	6	1	1	0	0	0	0
ENSG00000215915	3	6	4	4	5	13	12	14
ENSG00000160072	57	43	31	37	212	129	162	261
ENSG00000197785	96	94	142	167	762	761	699	1021
ENSG00000205090	10	17	4	5	2	5	2	4
ENSG00000160075	888	827	923	1180	4052	4837	3855	4823
ENSG00000228594	15	29	9	7	13	11	3	11
ENSG00000197530	270	247	133	154	502	613	471	610
ENSG00000189409	5	4	6	6	19	20	8	5
ENSG00000248333	428	507	300	367	1354	1632	1417	1770
ENSG00000189339	1062	878	1044	1297	4233	5069	4299	5288
ENSG00000008128	284	397	177	225	817	980	758	1145
ENSG00000008130	694	660	869	1127	4397	5005	4260	5255
ENSG00000078369	5681	5562	6536	7931	12820	14722	12067	15135
ENSG00000169885	0	0	0	0	0	0	0	0
ENSG00000178821	1	0	1	0	0	0	2	1
ENSG00000142609	0	0	0	0	5	1	0	4
ENSG00000187730	0	0	0	0	0	0	0	2
ENSG00000067606	263	225	165	182	772	977	767	935
