	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
ENSMUSG00000102693	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0
ENSMUSG00000051951	15.0802665712017	14.899361938998	7.11827515499583	7.6473375813544	10.9768107671267	6.27211405282068
ENSMUSG00000102851	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0
ENSMUSG00000103147	0	0	0	0	0	0
ENSMUSG00000103161	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0.849704175706044	0	1.04535234213678
ENSMUSG00000102948	0	0	0	0	0	0
ENSMUSG00000025900	1.77414900837667	1.1461047645383	1.01689645071369	2.54911252711813	0	0
ENSMUSG00000104123	0	0	0	0	0	0
ENSMUSG00000025902	30.1605331424033	33.2370381716108	39.6589615778339	47.5834338395385	83.423761830163	30.3152179219666
ENSMUSG00000104238	0	0	0	0	0	0
ENSMUSG00000102269	3.54829801675333	0	0	1.69940835141209	0	0
ENSMUSG00000096126	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0
ENSMUSG00000102735	0	0	0	0	0	0
ENSMUSG00000098104	29.273458638215	46.9902953460705	14.2365503099917	27.1905336225934	36.2234755315181	34.4966272905138
ENSMUSG00000102175	0	1.1461047645383	3.05068935214107	1.69940835141209	0	1.04535234213678
ENSMUSG00000088000	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0
ENSMUSG00000103922	43.4666507052283	153.578038448133	65.0813728456762	51.8319547180687	88.9121672137263	76.310720975985
ENSMUSG00000033845	1633.99123671491	2534.03763439419	1378.91158716776	1533.71603714941	1423.69235649633	1421.67918530602
ENSMUSG00000102275	0	0	0	0	0	0
ENSMUSG00000025903	0	0	0	0	0	0
ENSMUSG00000104217	15.96734107539	13.7532571744597	10.1689645071369	5.94792922994231	4.39072430685068	3.13605702641034
ENSMUSG00000033813	2113.01146897661	1343.23478403889	1937.18773860958	1924.57995797419	1467.59959956484	1714.37784110432
ENSMUSG00000062588	0	0	0	0	0	0
ENSMUSG00000103280	2.661223512565	11.461047645383	4.06758580285476	5.09822505423627	6.58608646027603	28.2245132376931
ENSMUSG00000002459	22.1768626047083	103.149428808447	142.365503099917	52.6816588937748	51.5910106054955	180.845955189663
ENSMUSG00000091305	0	0	0	0	0	0
ENSMUSG00000102653	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0
ENSMUSG00000091665	0	0	0	0	0	0
ENSMUSG00000033793	1453.02803786049	1728.32598492376	1918.88360249673	1767.38468546857	1985.70506777322	1379.86509162055
ENSMUSG00000104352	0	0	0	0	0	0
ENSMUSG00000104046	0	0	1.01689645071369	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	1.09768107671267	0
ENSMUSG00000103936	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0
ENSMUSG00000033774	1.77414900837667	1.1461047645383	0	0	3.29304323013801	0
ENSMUSG00000103090	0	0	0	0	0	0
ENSMUSG00000025907	1160.29345147834	1053.2702786107	1053.50472293938	1075.72548644385	613.603721882383	936.635698554555
ENSMUSG00000090031	0	0	0	0	0	0
ENSMUSG00000087247	52.3373957471116	14.899361938998	9.15206805642321	27.1905336225934	8.78144861370137	7.31746639495746
ENSMUSG00000103355	0	0	0	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000103845	10.64489405026	35.5292477006874	48.8110296342571	21.2426043926511	9.87912969041404	20.9070468427356
ENSMUSG00000033740	23.0639371088967	5.73052382269152	23.3886183664149	37.386983731066	57.0794159890589	13.5895804477781
ENSMUSG00000103329	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0
