	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
ENSMUSG00000102693	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0
ENSMUSG00000051951	17	13	7	9	10	6
ENSMUSG00000102851	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0
ENSMUSG00000103147	0	0	0	0	0	0
ENSMUSG00000103161	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	1	0	1
ENSMUSG00000102948	0	0	0	0	0	0
ENSMUSG00000025900	2	1	1	3	0	0
ENSMUSG00000104123	0	0	0	0	0	0
ENSMUSG00000025902	34	29	39	56	76	29
ENSMUSG00000104238	0	0	0	0	0	0
ENSMUSG00000102269	4	0	0	2	0	0
ENSMUSG00000096126	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0
ENSMUSG00000102735	0	0	0	0	0	0
ENSMUSG00000098104	33	41	14	32	33	33
ENSMUSG00000102175	0	1	3	2	0	1
ENSMUSG00000088000	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0
ENSMUSG00000103922	49	134	64	61	81	73
ENSMUSG00000033845	1842	2211	1356	1805	1297	1360
ENSMUSG00000102275	0	0	0	0	0	0
ENSMUSG00000025903	0	0	0	0	0	0
ENSMUSG00000104217	18	12	10	7	4	3
ENSMUSG00000033813	2382	1172	1905	2265	1337	1640
ENSMUSG00000062588	0	0	0	0	0	0
ENSMUSG00000103280	3	10	4	6	6	27
ENSMUSG00000002459	25	90	140	62	47	173
ENSMUSG00000091305	0	0	0	0	0	0
ENSMUSG00000102653	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0
ENSMUSG00000091665	0	0	0	0	0	0
ENSMUSG00000033793	1638	1508	1887	2080	1809	1320
ENSMUSG00000104352	0	0	0	0	0	0
ENSMUSG00000104046	0	0	1	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	1	0
ENSMUSG00000103936	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0
ENSMUSG00000033774	2	1	0	0	3	0
ENSMUSG00000103090	0	0	0	0	0	0
ENSMUSG00000025907	1308	919	1036	1266	559	896
ENSMUSG00000090031	0	0	0	0	0	0
ENSMUSG00000087247	59	13	9	32	8	7
ENSMUSG00000103355	0	0	0	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000103845	12	31	48	25	9	20
ENSMUSG00000033740	26	5	23	44	52	13
ENSMUSG00000103329	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0
ENSMUSG00000102135	832	780	554	673	610	549
ENSMUSG00000103282	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0
ENSMUSG00000051285	1057	802	794	853	471	934
ENSMUSG00000098201	0	0	0	0	0	0
ENSMUSG00000103509	0	0	0	0	0	0
ENSMUSG00000048538	468	384	816	610	405	426
ENSMUSG00000103709	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0
ENSMUSG00000097797	31	25	37	45	14	58
ENSMUSG00000103498	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0
ENSMUSG00000103903	0	1	1	1	3	0
ENSMUSG00000103557	0	0	0	0	0	0
ENSMUSG00000025909	594	1185	505	590	552	384
ENSMUSG00000102647	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0
ENSMUSG00000093970	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0
